ProductName,Category,StorageCondition,DaysUntilExpiration,DaysSinceOpened,IsOpened,IsSensitive,Quantity,PreviousWasteCount,PreviousSharedCount,Season,RiskScore,RiskLabel
Tavuk,Et Ürünleri,Oda Sıcaklığı,1,8,True,True,2.93,4,2,Kış,100,Critical
Armut,Meyve,Oda Sıcaklığı,7,1,True,True,2.58,3,0,Sonbahar,77,High
Simit,Fırın Ürünü,Oda Sıcaklığı,-2,0,False,False,1.7,3,4,İlkbahar,49,Medium
Elma,Meyve,Buzdolabı,1,0,False,False,4.61,6,1,İlkbahar,53,Medium
Domates,Sebze,Oda Sıcaklığı,-3,0,False,True,1.38,0,5,Kış,68,High
Salam,Et Ürünleri,Buzdolabı,9,8,True,True,0.52,5,2,Sonbahar,76,High
Pişmiş Pilav,Pişmiş Yemek,Dondurucu,1,0,False,True,4.16,1,4,İlkbahar,34,Medium
Kırmızı Et,Et Ürünleri,Dondurucu,0,0,False,True,1.58,5,3,Yaz,70,High
Zeytin,Kahvaltılık,Oda Sıcaklığı,13,0,False,False,4.42,2,2,Kış,8,Low
Peynir,Süt Ürünleri,Oda Sıcaklığı,16,1,True,True,3.73,4,1,Yaz,79,High
Krema,Süt Ürünleri,Buzdolabı,4,0,False,True,4.15,0,4,Sonbahar,28,Low
Domates,Sebze,Buzdolabı,2,0,False,True,3.14,6,1,Kış,68,High
Ekmek,Fırın Ürünü,Dondurucu,4,0,False,False,0.56,6,5,İlkbahar,27,Low
Karpuz,Meyve,Oda Sıcaklığı,0,1,True,True,3.48,6,0,İlkbahar,100,Critical
Salatalık,Sebze,Buzdolabı,6,1,True,True,3.24,6,0,Sonbahar,67,High
Simit,Fırın Ürünü,Dondurucu,-1,10,True,False,2.45,2,2,Yaz,74,High
Kaşar Peyniri,Süt Ürünleri,Dondurucu,16,4,True,True,3.98,3,3,Yaz,49,Medium
Süt,Süt Ürünleri,Dondurucu,2,2,True,True,2.24,3,5,Yaz,68,High
Havuç,Sebze,Dondurucu,11,4,True,False,4.64,0,4,İlkbahar,12,Low
Çorba,Pişmiş Yemek,Dondurucu,1,9,True,True,3.77,3,0,Sonbahar,87,Critical
Muz,Meyve,Dondurucu,4,0,False,True,0.54,6,0,İlkbahar,52,Medium
Soğan,Sebze,Dondurucu,34,0,False,False,1.3,4,2,İlkbahar,4,Low
Makarna,Kuru Gıda,Buzdolabı,230,2,True,False,2.06,2,3,Yaz,22,Low
Un,Kuru Gıda,Dondurucu,22,0,False,False,1.48,2,5,İlkbahar,0,Low
Kırmızı Et,Et Ürünleri,Buzdolabı,-2,9,True,True,4.76,3,0,Yaz,100,Critical
Süt,Süt Ürünleri,Oda Sıcaklığı,0,0,False,True,4.13,6,2,Sonbahar,98,Critical
Çilek,Meyve,Dondurucu,4,0,False,True,2.22,2,1,Sonbahar,34,Medium
Kabak,Sebze,Oda Sıcaklığı,1,0,False,True,4.49,2,2,İlkbahar,72,High
Ispanak,Sebze,Buzdolabı,-3,0,False,True,2.57,5,2,İlkbahar,72,High
Elma,Meyve,Dondurucu,18,0,False,False,2.61,0,1,İlkbahar,0,Low
Salam,Et Ürünleri,Oda Sıcaklığı,1,10,True,True,4.29,1,1,Sonbahar,100,Critical
Süt,Süt Ürünleri,Buzdolabı,6,0,False,True,3.68,6,2,Kış,43,Medium
Domates,Sebze,Oda Sıcaklığı,3,0,False,True,2.48,6,4,Kış,74,High
Pişmiş Makarna,Pişmiş Yemek,Buzdolabı,-1,4,True,True,0.97,2,3,Yaz,94,Critical
Ekmek,Fırın Ürünü,Oda Sıcaklığı,-3,7,True,False,0.61,0,4,Kış,74,High
Marul,Sebze,Oda Sıcaklığı,0,4,True,True,0.49,3,3,Yaz,100,Critical
Marul,Sebze,Dondurucu,0,9,True,True,1.61,3,0,Kış,97,Critical
Salatalık,Sebze,Buzdolabı,6,0,False,True,0.35,0,1,İlkbahar,21,Low
Soğan,Sebze,Oda Sıcaklığı,19,0,False,False,3.73,4,2,Yaz,16,Low
Salatalık,Sebze,Buzdolabı,0,1,True,True,1.5,1,0,Yaz,88,Critical
Salatalık,Sebze,Dondurucu,0,2,True,True,1.25,4,1,Yaz,90,Critical
Patates,Sebze,Buzdolabı,2,0,False,False,0.58,3,5,Yaz,33,Medium
Biber,Sebze,Oda Sıcaklığı,-3,0,False,True,0.76,0,4,İlkbahar,70,High
Bulgur,Kuru Gıda,Dondurucu,116,2,True,False,1.82,0,0,İlkbahar,12,Low
Brokoli,Sebze,Buzdolabı,-2,5,True,True,1.01,5,0,Yaz,100,Critical
Zeytinyağlı Yemek,Pişmiş Yemek,Oda Sıcaklığı,4,0,False,True,4.58,4,2,Kış,70,High
Ekmek,Fırın Ürünü,Buzdolabı,0,2,True,False,3.52,5,2,Sonbahar,77,High
Ekmek,Fırın Ürünü,Dondurucu,2,3,True,False,4.39,3,5,Sonbahar,53,Medium
Armut,Meyve,Buzdolabı,4,0,False,True,1.22,1,4,Sonbahar,32,Medium
Yoğurt,Süt Ürünleri,Buzdolabı,7,10,True,True,0.8,3,5,Yaz,70,High
Armut,Meyve,Oda Sıcaklığı,2,0,False,True,3.83,3,1,Kış,78,High
Üzüm,Meyve,Oda Sıcaklığı,4,0,False,True,1.08,3,5,Kış,60,High
Elma,Meyve,Oda Sıcaklığı,18,0,False,False,3.69,0,3,İlkbahar,0,Low
Balık,Et Ürünleri,Buzdolabı,-3,0,False,True,4.49,5,3,İlkbahar,70,High
Makarna,Kuru Gıda,Dondurucu,44,3,True,False,1.01,1,3,Yaz,18,Low
Ekmek,Fırın Ürünü,Buzdolabı,-3,0,False,False,4.58,1,3,Yaz,39,Medium
Tavuk,Et Ürünleri,Dondurucu,0,0,False,True,2.32,1,1,Yaz,58,Medium
Sucuk,Et Ürünleri,Buzdolabı,2,0,False,True,4.22,0,3,Yaz,48,Medium
Peynir,Süt Ürünleri,Dondurucu,-3,4,True,True,1.8,6,5,Yaz,98,Critical
Makarna,Kuru Gıda,Buzdolabı,2,6,True,False,4.37,6,2,İlkbahar,88,Critical
Karpuz,Meyve,Dondurucu,4,0,False,True,1.81,2,5,Kış,26,Low
Makarna,Kuru Gıda,Dondurucu,63,0,False,False,4.98,6,0,Kış,16,Low
Havuç,Sebze,Dondurucu,5,7,True,False,4.41,4,2,Kış,62,High
Makarna,Kuru Gıda,Oda Sıcaklığı,156,0,False,False,1.0,4,1,Yaz,18,Low
Yoğurt,Süt Ürünleri,Dondurucu,7,0,False,True,2.52,4,1,Sonbahar,29,Low
Süt,Süt Ürünleri,Oda Sıcaklığı,5,0,False,True,0.34,6,5,Kış,72,High
Zeytin,Kahvaltılık,Dondurucu,20,0,False,False,0.37,4,4,İlkbahar,0,Low
Marul,Sebze,Dondurucu,3,2,True,True,1.52,5,5,İlkbahar,58,Medium
Mercimek,Kuru Gıda,Oda Sıcaklığı,46,1,True,False,4.16,0,0,İlkbahar,24,Low
Çorba,Pişmiş Yemek,Oda Sıcaklığı,-3,0,False,True,2.05,6,1,Yaz,100,Critical
Kapalı Konserve,Konserve,Dondurucu,344,0,False,False,3.3,3,3,Sonbahar,0,Low
Un,Kuru Gıda,Oda Sıcaklığı,6,0,False,False,4.59,2,0,Yaz,20,Low
Muz,Meyve,Dondurucu,4,8,True,True,1.52,1,4,İlkbahar,61,High
Kaşar Peyniri,Süt Ürünleri,Buzdolabı,2,0,False,True,2.43,2,0,Kış,54,Medium
Şeker,Kuru Gıda,Oda Sıcaklığı,69,0,False,False,1.85,2,0,Sonbahar,12,Low
Lavaş,Fırın Ürünü,Buzdolabı,1,9,True,False,1.13,2,3,Yaz,70,High
Zeytin,Kahvaltılık,Dondurucu,48,0,False,False,2.32,5,2,Kış,8,Low
Sucuk,Et Ürünleri,Buzdolabı,17,10,True,True,1.88,4,5,Yaz,66,High
Poğaça,Fırın Ürünü,Dondurucu,1,3,True,True,3.75,2,5,İlkbahar,64,High
Elma,Meyve,Buzdolabı,1,0,False,False,0.9,5,0,Sonbahar,51,Medium
Pişmiş Pilav,Pişmiş Yemek,Oda Sıcaklığı,-2,0,False,True,0.84,5,0,Yaz,100,Critical
Makarna,Kuru Gıda,Buzdolabı,33,3,True,False,2.76,0,2,Yaz,24,Low
Yoğurt,Süt Ürünleri,Dondurucu,3,10,True,True,0.57,2,1,İlkbahar,71,High
Soğan,Sebze,Buzdolabı,-3,5,True,False,4.72,2,4,Sonbahar,78,High
Süt,Süt Ürünleri,Buzdolabı,-3,0,False,True,2.03,3,3,Kış,62,High
Meyve Suyu,İçecek,Oda Sıcaklığı,7,2,True,True,4.59,1,0,Sonbahar,69,High
Etli Yemek,Pişmiş Yemek,Buzdolabı,3,0,False,True,1.55,2,5,Yaz,42,Medium
Zeytin,Kahvaltılık,Dondurucu,8,5,True,False,1.41,2,4,Sonbahar,37,Medium
Süt,Süt Ürünleri,Buzdolabı,-1,0,False,True,3.76,0,1,Kış,54,Medium
Muz,Meyve,Buzdolabı,-1,1,True,True,4.32,4,1,Kış,90,Critical
Meyve Suyu,İçecek,Buzdolabı,-3,1,True,True,4.48,3,2,Sonbahar,84,Critical
Salam,Et Ürünleri,Dondurucu,2,10,True,True,2.34,6,5,Yaz,97,Critical
Açılmış Konserve,Konserve,Oda Sıcaklığı,1,0,False,True,0.78,3,4,Sonbahar,72,High
Tavuk,Et Ürünleri,Buzdolabı,-1,3,True,True,1.21,2,4,İlkbahar,84,Critical
Reçel,Kahvaltılık,Buzdolabı,35,0,False,False,2.42,2,5,İlkbahar,0,Low
Havuç,Sebze,Oda Sıcaklığı,3,0,False,False,1.23,1,5,Yaz,19,Low
Muz,Meyve,Buzdolabı,3,3,True,True,0.62,4,2,Sonbahar,76,High
Etli Yemek,Pişmiş Yemek,Dondurucu,-3,0,False,True,1.84,3,1,Yaz,66,High
Ayran,Süt Ürünleri,Oda Sıcaklığı,3,0,False,True,4.24,3,0,Sonbahar,70,High
Ekmek,Fırın Ürünü,Buzdolabı,3,0,False,False,3.34,0,3,Sonbahar,15,Low
Mercimek,Kuru Gıda,Buzdolabı,115,8,True,False,0.37,3,4,İlkbahar,41,Medium
Soğan,Sebze,Dondurucu,12,0,False,False,2.44,0,5,Sonbahar,0,Low
Meyve Suyu,İçecek,Dondurucu,0,0,False,True,3.51,2,3,Sonbahar,50,Medium
Kıyma,Et Ürünleri,Buzdolabı,0,1,True,True,0.7,3,5,Kış,78,High
Ayran,Süt Ürünleri,Dondurucu,3,0,False,True,4.01,0,2,Sonbahar,24,Low
Etli Yemek,Pişmiş Yemek,Buzdolabı,-2,0,False,True,0.96,3,5,Kış,58,Medium
Kapalı Konserve,Konserve,Dondurucu,125,10,True,False,4.21,3,1,Sonbahar,39,Medium
Limon,Meyve,Dondurucu,3,0,False,False,3.38,4,2,Sonbahar,25,Low
Etli Yemek,Pişmiş Yemek,Buzdolabı,3,10,True,True,0.5,1,1,Sonbahar,75,High
Sucuk,Et Ürünleri,Buzdolabı,2,0,False,True,2.64,0,0,Sonbahar,46,Medium
Çilek,Meyve,Dondurucu,-2,2,True,True,2.95,4,4,Sonbahar,76,High
Muz,Meyve,Buzdolabı,0,0,False,True,2.88,2,2,Yaz,68,High
Reçel,Kahvaltılık,Dondurucu,74,0,False,False,4.46,2,0,Yaz,0,Low
Mercimek,Kuru Gıda,Buzdolabı,130,9,True,False,1.12,6,0,Yaz,61,High
Ekmek,Fırın Ürünü,Oda Sıcaklığı,0,0,False,False,3.22,6,2,Sonbahar,65,High
Etli Yemek,Pişmiş Yemek,Buzdolabı,1,3,True,True,2.99,4,4,Kış,82,Critical
Domates,Sebze,Dondurucu,6,8,True,True,2.61,0,1,Yaz,58,Medium
Sucuk,Et Ürünleri,Dondurucu,15,6,True,True,1.96,6,1,Kış,66,High
Muz,Meyve,Buzdolabı,-1,0,False,True,4.16,3,1,İlkbahar,66,High
Havuç,Sebze,Buzdolabı,1,7,True,False,3.64,5,5,İlkbahar,78,High
Pirinç,Kuru Gıda,Dondurucu,74,0,False,False,3.9,4,4,İlkbahar,0,Low
Tost Ekmeği,Fırın Ürünü,Dondurucu,-1,3,True,False,4.64,5,4,Sonbahar,73,High
Sucuk,Et Ürünleri,Buzdolabı,13,9,True,True,1.08,4,1,Sonbahar,66,High
Tost Ekmeği,Fırın Ürünü,Oda Sıcaklığı,4,2,True,False,2.41,0,3,İlkbahar,39,Medium
Brokoli,Sebze,Buzdolabı,2,1,True,True,4.31,1,5,Kış,60,High
Kırmızı Et,Et Ürünleri,Buzdolabı,-1,0,False,True,2.52,4,3,Kış,66,High
Makarna,Kuru Gıda,Oda Sıcaklığı,236,0,False,False,2.85,6,0,Sonbahar,28,Low
Reçel,Kahvaltılık,Buzdolabı,10,0,False,False,2.64,0,1,Kış,6,Low
Meyve Suyu,İçecek,Oda Sıcaklığı,6,0,False,True,2.84,6,2,İlkbahar,65,High
Marul,Sebze,Oda Sıcaklığı,2,7,True,True,2.64,1,3,Yaz,100,Critical
Reçel,Kahvaltılık,Buzdolabı,60,3,True,False,0.63,2,1,Yaz,34,Medium
Peynir,Süt Ürünleri,Oda Sıcaklığı,15,0,False,True,4.05,5,1,Sonbahar,55,Medium
Patates,Sebze,Oda Sıcaklığı,28,0,False,False,4.04,2,1,Sonbahar,10,Low
Poğaça,Fırın Ürünü,Oda Sıcaklığı,3,9,True,True,0.28,4,1,Kış,100,Critical
Kabak,Sebze,Dondurucu,3,6,True,True,1.92,2,0,Sonbahar,73,High
Zeytin,Kahvaltılık,Buzdolabı,9,0,False,False,4.3,6,3,Kış,26,Low
Zeytin,Kahvaltılık,Buzdolabı,0,5,True,False,3.98,1,0,İlkbahar,82,Critical
Balık,Et Ürünleri,Dondurucu,-2,7,True,True,1.68,4,4,Sonbahar,93,Critical
Domates,Sebze,Buzdolabı,5,5,True,True,4.11,4,3,Sonbahar,83,Critical
Biber,Sebze,Buzdolabı,-2,1,True,True,3.89,6,2,İlkbahar,96,Critical
Balık,Et Ürünleri,Dondurucu,0,0,False,True,4.05,1,0,Yaz,60,High
Havuç,Sebze,Oda Sıcaklığı,7,0,False,False,1.83,5,3,Yaz,26,Low
Tost Ekmeği,Fırın Ürünü,Dondurucu,-3,4,True,False,4.83,3,2,Sonbahar,69,High
Tavuk,Et Ürünleri,Dondurucu,2,0,False,True,3.63,6,2,Yaz,66,High
Çilek,Meyve,Buzdolabı,3,0,False,True,1.9,6,5,Sonbahar,50,Medium
Muz,Meyve,Oda Sıcaklığı,3,0,False,True,4.95,2,0,Kış,66,High
Soğan,Sebze,Dondurucu,1,6,True,False,2.2,4,3,Yaz,70,High
Poğaça,Fırın Ürünü,Oda Sıcaklığı,-3,7,True,True,2.82,0,4,Kış,100,Critical
Patates,Sebze,Oda Sıcaklığı,3,9,True,False,4.22,0,5,İlkbahar,52,Medium
Patates,Sebze,Oda Sıcaklığı,1,10,True,False,1.01,5,2,Sonbahar,88,Critical
Meyve Suyu,İçecek,Oda Sıcaklığı,2,0,False,True,3.28,2,4,Kış,68,High
Balık,Et Ürünleri,Buzdolabı,-2,0,False,True,3.52,3,4,Sonbahar,60,High
Kırmızı Et,Et Ürünleri,Buzdolabı,2,0,False,True,3.65,5,1,Sonbahar,64,High
Kapalı Konserve,Konserve,Oda Sıcaklığı,217,2,True,False,4.83,1,1,İlkbahar,26,Low
Mercimek,Kuru Gıda,Buzdolabı,170,0,False,False,4.35,1,2,Sonbahar,0,Low
Salatalık,Sebze,Oda Sıcaklığı,-3,0,False,True,1.26,2,0,Sonbahar,86,Critical
Ayran,Süt Ürünleri,Buzdolabı,-1,4,True,True,4.03,3,1,Sonbahar,94,Critical
Salam,Et Ürünleri,Oda Sıcaklığı,8,9,True,True,1.01,5,3,İlkbahar,96,Critical
Zeytin,Kahvaltılık,Dondurucu,45,5,True,False,1.47,3,1,İlkbahar,39,Medium
