RecipeName,RecipeCategory,Difficulty,PreparationTimeMinutes,TotalIngredientCount,MatchedIngredientCount,MissingIngredientCount,MatchedIngredientRatio,RiskyIngredientCount,AverageDaysUntilExpiration,HasSensitiveIngredient,UserLikedSimilarRecipes,UserSavedSimilarRecipes,UserCookedSimilarRecipes,UserDislikedSimilarRecipes,ViewedSimilarRecipes,Season,RecommendationScore,RecommendationLabel
Yoğurt Çorbası,Çorba,Orta,35,4,2,2,0.5,0,9,False,8,1,0,0,2,İlkbahar,54.9,Medium
Elmalı Yulaf Tatlısı,Tatlı,Kolay,20,6,3,3,0.5,3,9,False,4,0,5,0,7,Kış,100.0,High
Peynirli Akdeniz Salatası,Salata,Kolay,15,5,4,1,0.8,4,18,True,8,2,4,4,6,Yaz,100.0,High
Sebzeli Pilav,Ana Yemek,Kolay,25,7,4,3,0.571,0,27,True,2,1,2,5,7,İlkbahar,27.4,Low
Yoğurt Çorbası,Çorba,Orta,35,8,6,2,0.75,1,3,True,2,6,1,3,7,Sonbahar,95.65,High
Muzlu Pankek,Tatlı,Orta,25,8,7,1,0.875,1,3,True,6,2,4,1,3,İlkbahar,100.0,High
Muzlu Smoothie,Atıştırmalık,Kolay,7,4,0,4,0.0,0,13,True,4,4,5,0,3,Kış,64.6,Medium
Etli Sebze Yemeği,Ana Yemek,Zor,55,4,0,4,0.0,0,25,False,3,2,3,3,14,Sonbahar,0.0,Low
Elmalı Yulaf Tatlısı,Tatlı,Kolay,20,5,0,5,0.0,0,24,True,2,2,3,4,5,Kış,0.0,Low
Etli Sebze Yemeği,Ana Yemek,Zor,55,10,2,8,0.2,2,17,False,5,1,4,5,15,İlkbahar,0.0,Low
Yoğurtlu Havuç Salatası,Salata,Kolay,15,4,2,2,0.5,2,20,True,7,0,2,3,6,Kış,73.7,Medium
Bayat Ekmek Pizzası,Atıştırmalık,Kolay,20,7,5,2,0.714,2,9,True,4,1,2,0,11,İlkbahar,100.0,High
Fırında Tavuk,Ana Yemek,Orta,45,10,8,2,0.8,0,29,False,8,2,0,1,11,Kış,96.0,High
Peynirli Lavaş Rulo,Atıştırmalık,Kolay,10,8,4,4,0.5,4,21,False,8,3,5,1,10,Sonbahar,100.0,High
Sütlaç,Tatlı,Orta,45,7,0,7,0.0,0,28,False,3,3,3,5,7,Sonbahar,0.0,Low
Yoğurtlu Yulaf,Kahvaltı,Kolay,8,9,1,8,0.111,0,14,True,7,4,4,4,10,İlkbahar,30.89,Low
Domates Çorbası,Çorba,Kolay,25,7,0,7,0.0,0,25,False,0,6,3,4,0,Kış,0.0,Low
Peynirli Lavaş Rulo,Atıştırmalık,Kolay,10,5,4,1,0.8,3,22,False,1,3,5,5,10,İlkbahar,99.0,High
Sebzeli Omlet,Kahvaltı,Kolay,15,8,1,7,0.125,0,25,False,6,3,4,1,11,Kış,46.38,Medium
Yoğurtlu Yulaf,Kahvaltı,Kolay,8,6,2,4,0.333,0,30,True,1,4,2,1,11,Sonbahar,54.67,Medium
Menemen,Kahvaltı,Kolay,20,5,3,2,0.6,2,11,False,1,5,5,4,6,Sonbahar,83.2,High
Domates Çorbası,Çorba,Kolay,25,10,10,0,1.0,0,12,False,8,4,1,4,2,Kış,100.0,High
Yoğurtlu Yulaf,Kahvaltı,Kolay,8,9,6,3,0.667,0,10,True,8,1,1,5,12,Sonbahar,63.33,Medium
Yoğurt Çorbası,Çorba,Orta,35,8,1,7,0.125,1,11,True,0,2,4,1,11,Sonbahar,21.38,Low
Elmalı Yulaf Tatlısı,Tatlı,Kolay,20,10,1,9,0.1,1,16,True,3,4,3,5,9,Sonbahar,0.0,Low
Mevsim Salata,Salata,Kolay,10,9,0,9,0.0,0,30,True,0,1,1,4,8,Kış,0.0,Low
Peynirli Lavaş Rulo,Atıştırmalık,Kolay,10,5,3,2,0.6,3,18,True,3,6,4,2,3,İlkbahar,100.0,High
Muzlu Smoothie,Atıştırmalık,Kolay,7,6,1,5,0.167,1,16,True,1,3,1,5,3,Yaz,0.0,Low
Domates Çorbası,Çorba,Kolay,25,7,3,4,0.429,1,26,True,7,0,1,5,4,Kış,26.8,Low
Kıymalı Makarna,Ana Yemek,Orta,30,9,3,6,0.333,2,24,False,8,4,2,0,2,Kış,77.07,High
Menemen,Kahvaltı,Kolay,20,6,2,4,0.333,1,12,True,1,4,2,0,6,İlkbahar,63.87,Medium
Sütlaç,Tatlı,Orta,45,9,3,6,0.333,2,6,True,8,5,2,5,12,Kış,60.67,Medium
Kıymalı Makarna,Ana Yemek,Orta,30,5,4,1,0.8,2,7,False,5,2,3,3,2,Yaz,93.4,High
Muzlu Smoothie,Atıştırmalık,Kolay,7,8,1,7,0.125,0,23,False,5,4,1,4,13,İlkbahar,5.38,Low
Sütlaç,Tatlı,Orta,45,10,9,1,0.9,1,10,True,7,5,2,5,8,Sonbahar,100.0,High
Fırında Tavuk,Ana Yemek,Orta,45,10,4,6,0.4,1,0,False,1,4,3,2,4,İlkbahar,51.8,Medium
Mercimek Çorbası,Çorba,Kolay,30,10,4,6,0.4,3,28,True,1,6,0,0,12,İlkbahar,83.0,High
Sebzeli Omlet,Kahvaltı,Kolay,15,10,10,0,1.0,0,15,False,1,5,0,0,0,Sonbahar,100.0,High
Kıymalı Makarna,Ana Yemek,Orta,30,4,4,0,1.0,3,9,False,0,3,0,1,7,Sonbahar,98.4,High
Yoğurt Çorbası,Çorba,Orta,35,6,4,2,0.667,4,30,True,8,6,0,1,14,Sonbahar,100.0,High
Bayat Ekmek Pizzası,Atıştırmalık,Kolay,20,9,7,2,0.778,1,14,False,3,0,4,4,5,Yaz,72.22,Medium
Fırında Tavuk,Ana Yemek,Orta,45,10,4,6,0.4,1,11,False,4,0,2,5,15,İlkbahar,5.0,Low
Yoğurtlu Havuç Salatası,Salata,Kolay,15,8,1,7,0.125,1,6,False,8,0,5,2,13,Yaz,52.38,Medium
Domates Çorbası,Çorba,Kolay,25,9,8,1,0.889,1,23,True,2,4,0,1,13,Yaz,100.0,High
Tavuklu Salata,Salata,Orta,25,6,3,3,0.5,3,13,False,5,1,5,5,12,Kış,70.5,Medium
Sebze Çorbası,Çorba,Kolay,28,10,7,3,0.7,3,24,True,7,4,3,3,0,Sonbahar,100.0,High
Peynirli Lavaş Rulo,Atıştırmalık,Kolay,10,7,6,1,0.857,2,13,False,0,4,0,1,13,Kış,100.0,High
Tavuklu Sebze Sote,Ana Yemek,Orta,35,6,6,0,1.0,3,27,True,1,5,5,0,0,İlkbahar,100.0,High
Bayat Ekmek Pizzası,Atıştırmalık,Kolay,20,10,3,7,0.3,2,6,False,5,1,5,4,0,İlkbahar,37.5,Low
Tavuklu Sebze Sote,Ana Yemek,Orta,35,10,7,3,0.7,0,27,False,4,4,5,1,5,Yaz,100.0,High
Tavuklu Sebze Sote,Ana Yemek,Orta,35,7,5,2,0.714,0,10,True,6,4,2,4,8,Kış,74.6,Medium
Muzlu Smoothie,Atıştırmalık,Kolay,7,5,5,0,1.0,3,20,True,4,6,4,5,8,Kış,100.0,High
Sebzeli Omlet,Kahvaltı,Kolay,15,10,4,6,0.4,1,16,False,5,1,0,4,1,Sonbahar,10.2,Low
Etli Sebze Yemeği,Ana Yemek,Zor,55,7,5,2,0.714,4,3,True,3,6,5,5,11,Sonbahar,100.0,High
Etli Sebze Yemeği,Ana Yemek,Zor,55,4,0,4,0.0,0,30,True,8,1,5,2,12,Kış,36.0,Low
Tavuklu Sebze Sote,Ana Yemek,Orta,35,9,0,9,0.0,0,7,False,5,0,5,2,2,Yaz,0.0,Low
Yoğurtlu Havuç Salatası,Salata,Kolay,15,6,2,4,0.333,2,9,True,8,4,5,2,11,Yaz,100.0,High
Yoğurtlu Meyve Kasesi,Tatlı,Kolay,8,10,6,4,0.6,2,7,True,1,6,3,0,7,Yaz,100.0,High
Sütlaç,Tatlı,Orta,45,4,2,2,0.5,2,12,True,0,3,1,4,10,Kış,40.5,Low
Sebzeli Pilav,Ana Yemek,Kolay,25,8,0,8,0.0,0,5,False,7,5,1,3,6,Yaz,10.2,Low
Etli Sebze Yemeği,Ana Yemek,Zor,55,10,4,6,0.4,1,28,False,4,6,5,1,15,İlkbahar,74.0,Medium
Kıymalı Makarna,Ana Yemek,Orta,30,6,2,4,0.333,0,26,True,3,0,1,0,15,Kış,36.67,Low
Sebzeli Sandviç,Atıştırmalık,Kolay,12,5,3,2,0.6,1,16,True,3,0,0,0,4,İlkbahar,65.8,Medium
Mercimek Çorbası,Çorba,Kolay,30,10,9,1,0.9,3,27,False,0,5,3,5,8,Sonbahar,100.0,High
Menemen,Kahvaltı,Kolay,20,8,5,3,0.625,4,4,True,2,2,2,0,7,Yaz,100.0,High
Sebzeli Sandviç,Atıştırmalık,Kolay,12,8,6,2,0.75,2,9,False,2,1,0,1,11,İlkbahar,86.25,High
Muzlu Pankek,Tatlı,Orta,25,5,2,3,0.4,1,11,True,2,0,4,4,4,Kış,28.8,Low
Yoğurtlu Havuç Salatası,Salata,Kolay,15,7,1,6,0.143,0,10,True,8,4,1,1,10,Yaz,54.0,Medium
Menemen,Kahvaltı,Kolay,20,7,5,2,0.714,4,14,True,8,6,3,0,4,İlkbahar,100.0,High
Kıymalı Makarna,Ana Yemek,Orta,30,4,2,2,0.5,1,22,True,3,2,1,1,6,Kış,60.7,Medium
Sebze Çorbası,Çorba,Kolay,28,9,0,9,0.0,0,20,False,7,1,4,0,10,İlkbahar,25.0,Low
Peynirli Lavaş Rulo,Atıştırmalık,Kolay,10,8,6,2,0.75,1,6,False,5,3,5,4,4,Kış,100.0,High
Sütlaç,Tatlı,Orta,45,6,4,2,0.667,4,14,True,2,6,4,2,2,Sonbahar,100.0,High
Muzlu Smoothie,Atıştırmalık,Kolay,7,10,2,8,0.2,2,29,False,4,3,1,2,4,Yaz,23.8,Low
Elmalı Yulaf Tatlısı,Tatlı,Kolay,20,5,0,5,0.0,0,11,False,0,3,0,5,5,Kış,0.0,Low
Yoğurt Çorbası,Çorba,Orta,35,4,2,2,0.5,0,26,False,6,2,2,2,7,İlkbahar,53.9,Medium
Sütlaç,Tatlı,Orta,45,6,4,2,0.667,0,14,False,4,3,1,1,11,Sonbahar,70.33,Medium
Tavuklu Salata,Salata,Orta,25,10,3,7,0.3,2,1,False,0,3,0,2,14,Kış,30.5,Low
Sebzeli Pilav,Ana Yemek,Kolay,25,4,2,2,0.5,2,27,False,2,2,3,2,5,Kış,67.5,Medium
Sütlaç,Tatlı,Orta,45,4,0,4,0.0,0,10,False,3,5,4,5,6,Sonbahar,6.2,Low
Sebzeli Sandviç,Atıştırmalık,Kolay,12,8,0,8,0.0,0,22,False,7,3,1,0,0,Yaz,14.0,Low
Muzlu Smoothie,Atıştırmalık,Kolay,7,8,6,2,0.75,2,19,False,2,6,0,1,15,İlkbahar,100.0,High
Elmalı Yulaf Tatlısı,Tatlı,Kolay,20,6,5,1,0.833,2,25,False,6,4,3,2,4,Sonbahar,100.0,High
Yoğurtlu Yulaf,Kahvaltı,Kolay,8,4,3,1,0.75,2,20,True,5,4,1,4,8,Kış,92.85,High
Peynirli Lavaş Rulo,Atıştırmalık,Kolay,10,6,2,4,0.333,2,19,False,1,2,2,5,6,Sonbahar,19.87,Low
Mercimek Çorbası,Çorba,Kolay,30,7,4,3,0.571,2,24,True,3,0,2,4,4,Yaz,48.8,Medium
Tavuklu Sebze Sote,Ana Yemek,Orta,35,8,7,1,0.875,4,8,False,6,3,0,3,14,Yaz,100.0,High
Yoğurt Çorbası,Çorba,Orta,35,9,4,5,0.444,0,11,False,2,5,3,3,3,Yaz,34.16,Low
